,SAM,IPO,DMI,ENSO
raw monthly,-0.02765405849679576,-0.02345317528540726,0.15058009521794694,-0.021830768414330976
raw monthly detrended,-0.035262174816780414,-0.012341838429144809,0.145800922317106,-0.029304326405098204
anomalous monthly,0.15986518645653858,-0.12679179300033355,0.112145235164721,0.06555738275642414
anomalous monthly detrended,0.12445961421068685,-0.06555907546150404,0.11375769174605677,0.026324744691123454
raw seasonal,-0.04434770740857845,-0.029794234078501226,0.05869728243439883,-0.015019653339227374
raw seasonal detrended,-0.06026846137661945,-0.014617373998770097,0.056315960002647616,-0.026070328488390263
anomalous seasonal,0.19956292894877214,-0.13999482330910673,0.027379784854518252,0.0922044085310755
anomalous seasonal detrended,0.13901001613903444,-0.06810565828539379,0.0077002273882436564,0.04238766024828816
raw annual,0.2753736704657734,-0.13952548168856369,0.02209120165925124,0.11845779216452296
raw annual detrended,0.1431026979158529,-0.029275975254814873,-0.020746231606912136,0.030127423189744526
anomalous annual,0.2845302889496373,-0.16447214564457627,0.022655450774765135,0.1386438303441101
anomalous annual detrended,0.14873954460131586,-0.05354741379016936,-0.02175860196225951,0.04935377788041815
